,Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status,Race/Ethnicity_index,Sex_index,Department_index,Regular/Temporary_index,Employee Status_index
7291,White,M,Seattle City Light,55,52,R,A,0.0,0.0,1.0,0.0,0.0
7292,White,F,Finance & Admin Services,35,36,R,A,0.0,1.0,10.0,0.0,0.0
7293,White,M,Police Department,33,40,R,A,0.0,0.0,2.0,0.0,0.0
7294,White,F,Finance & Admin Services,38,52,R,A,0.0,1.0,10.0,0.0,0.0
7295,White,F,Parks & Recreation,60,18,T,A,0.0,1.0,0.0,1.0,0.0
7296,White,M,Fire Department,31,36,R,A,0.0,0.0,5.0,0.0,0.0
7297,White,M,Fire Department,45,46,R,A,0.0,0.0,5.0,0.0,0.0
7298,White,M,Fire Department,30,48,R,A,0.0,0.0,5.0,0.0,0.0
7299,White,F,Law Department,36,37,R,A,0.0,1.0,13.0,0.0,0.0
7300,White,M,Seattle Public Utilities,37,49,T,A,0.0,0.0,3.0,1.0,0.0
7301,White,F,Parks & Recreation,43,35,R,A,0.0,1.0,0.0,0.0,0.0
7302,White,F,Legislative Department,32,35,R,A,0.0,1.0,17.0,0.0,0.0
7303,White,F,Parks & Recreation,22,19,T,A,0.0,1.0,0.0,1.0,0.0
7304,White,M,Police Department,61,60,R,A,0.0,0.0,2.0,0.0,0.0
7305,White,M,Seattle Center,55,41,R,A,0.0,0.0,9.0,0.0,0.0
7306,White,M,Law Department,35,66,R,A,0.0,0.0,13.0,0.0,0.0
7307,White,F,Seattle Dept of Transportation,21,19,T,A,0.0,1.0,4.0,1.0,0.0
7308,White,M,Seattle Public Utilities,44,60,R,A,0.0,0.0,3.0,0.0,0.0
7309,White,F,Parks & Recreation,76,18,T,A,0.0,1.0,0.0,1.0,0.0
7310,White,M,Fire Department,34,38,R,A,0.0,0.0,5.0,0.0,0.0
7311,White,F,Seattle City Light,48,74,R,A,0.0,1.0,1.0,0.0,0.0
7312,White,M,Commnty Sfty and Comm Ctr Dept,32,40,R,A,0.0,0.0,14.0,0.0,0.0
7313,White,M,Seattle Public Library,46,26,R,A,0.0,0.0,6.0,0.0,0.0
7314,White,M,Information Technology,49,61,R,A,0.0,0.0,8.0,0.0,0.0
7315,White,F,Seattle Dept of Human Resource,54,73,R,L,0.0,1.0,16.0,0.0,1.0
7316,White,F,Human Services Department,51,39,R,A,0.0,1.0,7.0,0.0,0.0
7317,White,M,Seattle Dept of Transportation,39,34,R,A,0.0,0.0,4.0,0.0,0.0
7318,White,M,Seattle Dept of Transportation,45,47,R,A,0.0,0.0,4.0,0.0,0.0
7319,White,M,Police Department,38,58,R,A,0.0,0.0,2.0,0.0,0.0
7320,White,F,Commnty Sfty and Comm Ctr Dept,28,31,R,A,0.0,1.0,14.0,0.0,0.0
7321,White,M,Parks & Recreation,30,31,R,A,0.0,0.0,0.0,0.0,0.0
7322,White,M,Seattle Public Utilities,56,60,R,A,0.0,0.0,3.0,0.0,0.0
7323,White,M,Seattle City Light,41,74,R,A,0.0,0.0,1.0,0.0,0.0
7324,White,M,Seattle Center,59,29,R,A,0.0,0.0,9.0,0.0,0.0
7325,White,M,Parks & Recreation,30,30,R,A,0.0,0.0,0.0,0.0,0.0
7326,White,M,Fire Department,55,51,R,A,0.0,0.0,5.0,0.0,0.0
7327,White,M,Fire Department,53,58,R,A,0.0,0.0,5.0,0.0,0.0
7328,White,F,Seattle Public Utilities,38,45,T,A,0.0,1.0,3.0,1.0,0.0
7329,White,F,Seattle Public Library,59,46,R,A,0.0,1.0,6.0,0.0,0.0
7330,White,M,Construction & Inspections,54,54,R,A,0.0,0.0,11.0,0.0,0.0
7331,White,M,Parks & Recreation,44,30,R,A,0.0,0.0,0.0,0.0,0.0
7332,White,F,Seattle Public Utilities,63,26,T,A,0.0,1.0,3.0,1.0,0.0
7333,White,M,Legislative Department,53,70,R,A,0.0,0.0,17.0,0.0,0.0
7334,White,F,Parks & Recreation,21,19,T,A,0.0,1.0,0.0,1.0,0.0
7335,White,M,Construction & Inspections,65,59,R,A,0.0,0.0,11.0,0.0,0.0
7336,White,M,Employees' Retirement System,29,23,T,A,0.0,0.0,27.0,1.0,0.0
7337,White,F,Seattle Dept of Human Resource,30,43,R,A,0.0,1.0,16.0,0.0,0.0
7338,White,M,Parks & Recreation,61,78,R,A,0.0,0.0,0.0,0.0,0.0
7339,White,F,Seattle Public Library,29,24,R,A,0.0,1.0,6.0,0.0,0.0
7340,White,F,Seattle Dept of Transportation,27,34,R,A,0.0,1.0,4.0,0.0,0.0
7341,White,M,Seattle Dept of Transportation,54,35,R,A,0.0,0.0,4.0,0.0,0.0
7342,White,M,Seattle Public Library,63,35,R,A,0.0,0.0,6.0,0.0,0.0
7343,White,F,Human Services Department,50,63,R,A,0.0,1.0,7.0,0.0,0.0
7344,White,F,Seattle Public Library,32,37,R,A,0.0,1.0,6.0,0.0,0.0
7345,White,M,Police Department,36,57,R,A,0.0,0.0,2.0,0.0,0.0
7346,White,F,Seattle City Light,57,61,R,A,0.0,1.0,1.0,0.0,0.0
7347,White,F,Parks & Recreation,41,37,R,A,0.0,1.0,0.0,0.0,0.0
7348,White,M,Police Department,39,66,R,A,0.0,0.0,2.0,0.0,0.0
7349,White,M,Seattle Dept of Transportation,36,54,R,A,0.0,0.0,4.0,0.0,0.0
7350,White,M,Fire Department,43,34,R,A,0.0,0.0,5.0,0.0,0.0
7351,White,F,Seattle Dept of Transportation,59,60,R,A,0.0,1.0,4.0,0.0,0.0
7352,White,F,Fire Department,28,26,R,A,0.0,1.0,5.0,0.0,0.0
7353,White,F,Seattle City Light,58,55,R,A,0.0,1.0,1.0,0.0,0.0
7354,White,F,Seattle City Light,34,41,R,A,0.0,1.0,1.0,0.0,0.0
7355,White,M,Seattle Public Utilities,54,41,R,A,0.0,0.0,3.0,0.0,0.0
7356,White,M,Police Department,27,45,R,A,0.0,0.0,2.0,0.0,0.0
7357,White,M,Police Department,51,60,R,P,0.0,0.0,2.0,0.0,2.0
7358,White,M,Fire Department,58,56,R,A,0.0,0.0,5.0,0.0,0.0
7359,White,F,Seattle City Light,39,63,R,A,0.0,1.0,1.0,0.0,0.0
7360,White,M,Construction & Inspections,40,52,R,A,0.0,0.0,11.0,0.0,0.0
7361,White,M,Seattle Public Utilities,48,42,R,A,0.0,0.0,3.0,0.0,0.0
7362,White,N,Human Services Department,28,28,T,A,0.0,2.0,7.0,1.0,0.0
7363,White,M,Parks & Recreation,23,30,R,A,0.0,0.0,0.0,0.0,0.0
7364,White,F,Seattle Public Library,45,22,R,A,0.0,1.0,6.0,0.0,0.0
7365,White,F,Seattle Public Utilities,21,19,T,A,0.0,1.0,3.0,1.0,0.0
7366,White,F,Parks & Recreation,29,27,T,A,0.0,1.0,0.0,1.0,0.0
7367,White,M,Police Department,33,54,R,A,0.0,0.0,2.0,0.0,0.0
7368,White,M,Police Department,35,54,R,A,0.0,0.0,2.0,0.0,0.0
7369,White,F,Police Department,36,67,T,A,0.0,1.0,2.0,1.0,0.0
7370,White,F,Seattle Public Utilities,43,32,R,A,0.0,1.0,3.0,0.0,0.0
7371,White,M,Fire Department,36,46,R,A,0.0,0.0,5.0,0.0,0.0
7372,White,M,Seattle City Light,60,71,R,A,0.0,0.0,1.0,0.0,0.0
7373,White,F,Human Services Department,56,33,T,A,0.0,1.0,7.0,1.0,0.0
7374,White,M,Seattle Public Library,47,46,R,A,0.0,0.0,6.0,0.0,0.0
7375,White,F,Finance & Admin Services,40,44,R,A,0.0,1.0,10.0,0.0,0.0
7376,White,M,Police Department,35,55,R,A,0.0,0.0,2.0,0.0,0.0
7377,White,F,Parks & Recreation,51,44,R,A,0.0,1.0,0.0,0.0,0.0
7378,White,M,Parks & Recreation,18,18,T,A,0.0,0.0,0.0,1.0,0.0
7379,White,F,Seattle Center,62,36,T,A,0.0,1.0,9.0,1.0,0.0
7380,White,M,Fire Department,49,43,R,A,0.0,0.0,5.0,0.0,0.0
7381,White,F,Construction & Inspections,27,50,R,A,0.0,1.0,11.0,0.0,0.0
7382,White,F,Parks & Recreation,36,24,T,A,0.0,1.0,0.0,1.0,0.0
7383,White,M,Seattle City Light,58,69,R,A,0.0,0.0,1.0,0.0,0.0
7384,White,M,Parks & Recreation,61,38,R,A,0.0,0.0,0.0,0.0,0.0
7385,White,M,Seattle City Light,43,42,R,A,0.0,0.0,1.0,0.0,0.0
7386,White,M,Fire Department,28,43,R,A,0.0,0.0,5.0,0.0,0.0
7387,White,M,Finance & Admin Services,63,27,R,A,0.0,0.0,10.0,0.0,0.0
7388,White,F,Police Department,38,67,R,A,0.0,1.0,2.0,0.0,0.0
7389,White,M,Seattle City Light,49,31,R,A,0.0,0.0,1.0,0.0,0.0
7390,White,M,Parks & Recreation,58,57,R,A,0.0,0.0,0.0,0.0,0.0
7391,White,M,Parks & Recreation,52,40,R,A,0.0,0.0,0.0,0.0,0.0
7392,White,F,Police Department,44,31,R,A,0.0,1.0,2.0,0.0,0.0
7393,White,F,Police Department,41,28,R,A,0.0,1.0,2.0,0.0,0.0
7394,White,M,City Budget Office,39,73,R,A,0.0,0.0,23.0,0.0,0.0
7395,White,M,Seattle City Light,43,69,R,A,0.0,0.0,1.0,0.0,0.0
7396,White,F,Seattle Dept of Transportation,41,58,R,A,0.0,1.0,4.0,0.0,0.0
7397,White,M,Seattle City Light,35,47,R,A,0.0,0.0,1.0,0.0,0.0
7398,White,F,Seattle Public Utilities,54,37,R,A,0.0,1.0,3.0,0.0,0.0
7399,White,M,Fire Department,21,41,R,A,0.0,0.0,5.0,0.0,0.0
7400,White,F,Seattle Public Utilities,55,69,R,A,0.0,1.0,3.0,0.0,0.0
7401,White,M,Fire Department,54,64,R,A,0.0,0.0,5.0,0.0,0.0
7402,White,M,Police Department,41,54,R,A,0.0,0.0,2.0,0.0,0.0
7403,White,F,Parks & Recreation,60,34,R,A,0.0,1.0,0.0,0.0,0.0
7404,White,M,Seattle City Light,66,44,R,A,0.0,0.0,1.0,0.0,0.0
7405,White,F,Parks & Recreation,60,30,R,A,0.0,1.0,0.0,0.0,0.0
7406,White,M,Seattle Dept of Transportation,37,34,R,A,0.0,0.0,4.0,0.0,0.0
7407,White,M,Seattle Public Utilities,41,51,R,A,0.0,0.0,3.0,0.0,0.0
7408,White,F,Seattle Public Library,33,46,R,A,0.0,1.0,6.0,0.0,0.0
7409,White,F,Seattle City Light,47,31,R,A,0.0,1.0,1.0,0.0,0.0
7410,White,M,Parks & Recreation,54,20,T,A,0.0,0.0,0.0,1.0,0.0
7411,White,M,Seattle Public Utilities,60,39,R,A,0.0,0.0,3.0,0.0,0.0
7412,White,F,Human Services Department,59,61,R,A,0.0,1.0,7.0,0.0,0.0
7413,White,F,Seattle Center,62,36,T,A,0.0,1.0,9.0,1.0,0.0
7414,White,M,Fire Department,46,61,R,A,0.0,0.0,5.0,0.0,0.0
7415,White,F,Finance & Admin Services,32,63,R,A,0.0,1.0,10.0,0.0,0.0
7416,White,F,Commnty Sfty and Comm Ctr Dept,28,32,R,A,0.0,1.0,14.0,0.0,0.0
7417,White,F,Municipal Court,53,75,R,A,0.0,1.0,12.0,0.0,0.0
7418,White,F,Seattle City Light,45,63,R,A,0.0,1.0,1.0,0.0,0.0
7419,White,M,Seattle Center,47,36,T,A,0.0,0.0,9.0,1.0,0.0
7420,White,M,Finance & Admin Services,43,41,R,A,0.0,0.0,10.0,0.0,0.0
7421,White,M,Seattle City Light,49,77,R,A,0.0,0.0,1.0,0.0,0.0
7422,White,F,Seattle Public Library,50,46,R,A,0.0,1.0,6.0,0.0,0.0
7423,White,M,Seattle City Light,44,69,R,A,0.0,0.0,1.0,0.0,0.0
7424,White,F,Fire Department,49,50,R,A,0.0,1.0,5.0,0.0,0.0
7425,White,F,Seattle Dept of Human Resource,34,56,R,A,0.0,1.0,16.0,0.0,0.0
7426,White,F,Seattle Public Library,57,34,R,A,0.0,1.0,6.0,0.0,0.0
7427,White,F,Seattle City Light,47,39,R,A,0.0,1.0,1.0,0.0,0.0
7428,White,F,Parks & Recreation,61,41,R,A,0.0,1.0,0.0,0.0,0.0
7429,White,M,Legislative Department,24,28,T,A,0.0,0.0,17.0,1.0,0.0
7430,White,M,Fire Department,38,50,R,A,0.0,0.0,5.0,0.0,0.0
7431,White,M,Fire Department,39,46,R,A,0.0,0.0,5.0,0.0,0.0
7432,White,F,Seattle City Light,45,63,R,A,0.0,1.0,1.0,0.0,0.0
7433,White,M,Seattle City Light,26,39,R,A,0.0,0.0,1.0,0.0,0.0
7434,White,M,Fire Department,60,57,R,A,0.0,0.0,5.0,0.0,0.0
7435,White,M,Seattle City Light,46,61,R,A,0.0,0.0,1.0,0.0,0.0
7436,White,F,Seattle Public Utilities,59,58,R,A,0.0,1.0,3.0,0.0,0.0
7437,White,M,Fire Department,47,72,R,A,0.0,0.0,5.0,0.0,0.0
7438,White,M,Office of Housing,53,38,R,A,0.0,0.0,19.0,0.0,0.0
7439,White,M,Seattle Center,70,31,R,A,0.0,0.0,9.0,0.0,0.0
7440,White,F,Seattle Center,55,38,R,A,0.0,1.0,9.0,0.0,0.0
7441,White,M,Fire Department,52,58,R,A,0.0,0.0,5.0,0.0,0.0
7442,White,M,Finance & Admin Services,60,43,R,A,0.0,0.0,10.0,0.0,0.0
7443,White,F,Construction & Inspections,42,78,R,A,0.0,1.0,11.0,0.0,0.0
7444,White,M,Parks & Recreation,52,64,R,A,0.0,0.0,0.0,0.0,0.0
7445,White,M,Seattle Public Utilities,38,62,R,A,0.0,0.0,3.0,0.0,0.0
7446,White,M,Finance & Admin Services,50,58,R,A,0.0,0.0,10.0,0.0,0.0
7447,White,F,Seattle Public Utilities,31,63,R,A,0.0,1.0,3.0,0.0,0.0
7448,White,M,Police Department,25,50,R,A,0.0,0.0,2.0,0.0,0.0
7449,White,M,Parks & Recreation,63,32,R,A,0.0,0.0,0.0,0.0,0.0
7450,White,F,Office of Inspector General,55,48,R,A,0.0,1.0,29.0,0.0,0.0
7451,White,M,Seattle City Light,62,67,R,A,0.0,0.0,1.0,0.0,0.0
7452,White,M,Seattle Public Utilities,62,46,R,A,0.0,0.0,3.0,0.0,0.0
7453,White,M,Police Department,63,61,R,A,0.0,0.0,2.0,0.0,0.0
7454,White,F,Fire Department,63,57,R,A,0.0,1.0,5.0,0.0,0.0
7455,White,F,Planning & Comm Development,54,55,R,A,0.0,1.0,21.0,0.0,0.0
7456,White,M,Seattle Dept of Transportation,55,43,R,A,0.0,0.0,4.0,0.0,0.0
7457,White,M,Seattle Dept of Transportation,28,18,R,A,0.0,0.0,4.0,0.0,0.0
7458,White,M,Seattle Public Utilities,38,53,R,A,0.0,0.0,3.0,0.0,0.0
7459,White,M,Seattle Public Utilities,52,53,R,A,0.0,0.0,3.0,0.0,0.0
7460,White,F,Seattle City Light,58,93,R,A,0.0,1.0,1.0,0.0,0.0
7461,White,M,Fire Department,54,61,R,A,0.0,0.0,5.0,0.0,0.0
7462,White,M,Seattle City Light,48,61,R,A,0.0,0.0,1.0,0.0,0.0
7463,White,F,Information Technology,55,55,R,A,0.0,1.0,8.0,0.0,0.0
7464,White,M,Police Department,28,42,R,A,0.0,0.0,2.0,0.0,0.0
7465,White,M,Fire Department,53,55,R,A,0.0,0.0,5.0,0.0,0.0
7466,White,M,Police Department,52,57,R,A,0.0,0.0,2.0,0.0,0.0
7467,White,M,Seattle Public Utilities,54,64,R,A,0.0,0.0,3.0,0.0,0.0
7468,White,M,Seattle Public Utilities,29,39,R,A,0.0,0.0,3.0,0.0,0.0
7469,White,M,Construction & Inspections,61,55,R,A,0.0,0.0,11.0,0.0,0.0
7470,White,M,Fire Department,49,55,R,A,0.0,0.0,5.0,0.0,0.0
7471,White,M,Fire Department,52,54,R,A,0.0,0.0,5.0,0.0,0.0
7472,White,F,Police Department,64,70,R,A,0.0,1.0,2.0,0.0,0.0
7473,White,M,Construction & Inspections,37,66,R,A,0.0,0.0,11.0,0.0,0.0
7474,White,F,Office of Inspector General,27,43,R,A,0.0,1.0,29.0,0.0,0.0
7475,White,M,Police Department,30,63,R,A,0.0,0.0,2.0,0.0,0.0
7476,White,M,Seattle City Light,66,60,R,A,0.0,0.0,1.0,0.0,0.0
7477,White,F,Construction & Inspections,30,48,R,A,0.0,1.0,11.0,0.0,0.0
7478,White,M,Parks & Recreation,61,34,R,A,0.0,0.0,0.0,0.0,0.0
7479,White,M,Seattle Public Library,73,32,R,A,0.0,0.0,6.0,0.0,0.0
7480,White,F,Law Department,33,56,R,A,0.0,1.0,13.0,0.0,0.0
7481,White,M,Seattle Dept of Transportation,53,45,T,A,0.0,0.0,4.0,1.0,0.0
7482,White,M,Fire Department,31,38,R,A,0.0,0.0,5.0,0.0,0.0
7483,White,M,Parks & Recreation,31,24,T,A,0.0,0.0,0.0,1.0,0.0
7484,White,M,Seattle Dept of Transportation,45,37,R,A,0.0,0.0,4.0,0.0,0.0
7485,White,F,Police Department,27,40,R,A,0.0,1.0,2.0,0.0,0.0
7486,White,M,Parks & Recreation,64,48,R,A,0.0,0.0,0.0,0.0,0.0
7487,White,F,Human Services Department,49,39,R,A,0.0,1.0,7.0,0.0,0.0
7488,White,F,Seattle Dept of Transportation,33,53,R,A,0.0,1.0,4.0,0.0,0.0
7489,White,M,Construction & Inspections,53,51,R,A,0.0,0.0,11.0,0.0,0.0
7490,White,M,Seattle Dept of Transportation,35,59,T,A,0.0,0.0,4.0,1.0,0.0
7491,White,F,Neighborhoods,44,62,R,A,0.0,1.0,18.0,0.0,0.0
7492,White,M,Seattle Center,76,18,T,A,0.0,0.0,9.0,1.0,0.0
7493,White,M,Police Department,37,78,R,A,0.0,0.0,2.0,0.0,0.0
7494,White,M,Fire Department,39,51,R,A,0.0,0.0,5.0,0.0,0.0
7495,White,M,Police Department,28,47,R,A,0.0,0.0,2.0,0.0,0.0
7496,White,M,Seattle Center,53,36,T,A,0.0,0.0,9.0,1.0,0.0
7497,White,F,Seattle City Light,39,49,R,A,0.0,1.0,1.0,0.0,0.0
7498,White,M,Police Department,57,60,R,A,0.0,0.0,2.0,0.0,0.0
7499,White,M,Seattle Public Utilities,50,42,R,A,0.0,0.0,3.0,0.0,0.0
7500,White,F,Seattle Public Utilities,52,67,T,A,0.0,1.0,3.0,1.0,0.0
7501,White,M,Construction & Inspections,64,55,R,A,0.0,0.0,11.0,0.0,0.0
7502,White,M,Seattle Public Utilities,31,54,R,A,0.0,0.0,3.0,0.0,0.0
7503,White,M,Seattle Center,52,36,T,A,0.0,0.0,9.0,1.0,0.0
7504,White,M,Seattle City Light,37,74,R,A,0.0,0.0,1.0,0.0,0.0
7505,White,M,Seattle Dept of Transportation,32,67,R,A,0.0,0.0,4.0,0.0,0.0
7506,White,M,Parks & Recreation,34,35,R,A,0.0,0.0,0.0,0.0,0.0
7507,White,F,Information Technology,45,46,R,A,0.0,1.0,8.0,0.0,0.0
7508,White,M,Information Technology,64,63,R,A,0.0,0.0,8.0,0.0,0.0
7509,White,F,Seattle Dept of Human Resource,43,86,R,A,0.0,1.0,16.0,0.0,0.0
7510,White,M,Seattle Public Library,47,38,R,A,0.0,0.0,6.0,0.0,0.0
7511,White,M,Police Department,22,42,R,A,0.0,0.0,2.0,0.0,0.0
7512,White,M,Municipal Court,52,41,R,A,0.0,0.0,12.0,0.0,0.0
7513,White,M,Finance & Admin Services,64,41,R,A,0.0,0.0,10.0,0.0,0.0
7514,White,M,Parks & Recreation,60,37,R,A,0.0,0.0,0.0,0.0,0.0
7515,White,M,Seattle Public Utilities,50,37,R,A,0.0,0.0,3.0,0.0,0.0
7516,White,M,Construction & Inspections,56,48,R,A,0.0,0.0,11.0,0.0,0.0
7517,White,F,Seattle Public Utilities,30,49,R,A,0.0,1.0,3.0,0.0,0.0
7518,White,F,Parks & Recreation,16,19,T,A,0.0,1.0,0.0,1.0,0.0
7519,White,F,Seattle City Light,37,34,R,A,0.0,1.0,1.0,0.0,0.0
7520,White,M,Seattle Public Utilities,40,37,R,A,0.0,0.0,3.0,0.0,0.0
7521,White,M,Fire Department,58,56,R,A,0.0,0.0,5.0,0.0,0.0
7522,White,M,Fire Department,54,56,R,A,0.0,0.0,5.0,0.0,0.0
7523,White,M,Police Department,53,62,R,A,0.0,0.0,2.0,0.0,0.0
7524,White,F,Seattle Public Library,37,46,R,A,0.0,1.0,6.0,0.0,0.0
7525,White,M,Information Technology,63,62,R,A,0.0,0.0,8.0,0.0,0.0
7526,White,M,Seattle Public Utilities,58,68,R,A,0.0,0.0,3.0,0.0,0.0
7527,White,M,Seattle Dept of Transportation,58,36,R,A,0.0,0.0,4.0,0.0,0.0
7528,White,M,Seattle Public Utilities,62,41,R,A,0.0,0.0,3.0,0.0,0.0
7529,White,F,Seattle City Light,38,80,R,A,0.0,1.0,1.0,0.0,0.0
7530,White,M,Fire Department,38,57,R,A,0.0,0.0,5.0,0.0,0.0
7531,White,F,Seattle Center,56,18,T,A,0.0,1.0,9.0,1.0,0.0
7532,White,M,Fire Department,58,66,R,A,0.0,0.0,5.0,0.0,0.0
7533,White,F,Seattle Dept of Transportation,53,60,R,A,0.0,1.0,4.0,0.0,0.0
7534,White,M,Seattle City Light,60,54,R,A,0.0,0.0,1.0,0.0,0.0
7535,White,M,Human Services Department,45,62,R,A,0.0,0.0,7.0,0.0,0.0
7536,White,F,Seattle Dept of Transportation,49,61,R,A,0.0,1.0,4.0,0.0,0.0
7537,White,M,Seattle Public Utilities,57,72,R,A,0.0,0.0,3.0,0.0,0.0
7538,White,M,Parks & Recreation,41,40,R,A,0.0,0.0,0.0,0.0,0.0
7539,White,M,Seattle City Light,50,40,R,A,0.0,0.0,1.0,0.0,0.0
7540,White,F,Construction & Inspections,63,55,R,A,0.0,1.0,11.0,0.0,0.0
7541,White,F,Seattle Public Utilities,55,49,R,A,0.0,1.0,3.0,0.0,0.0
7542,White,F,Office of Inspector General,58,69,R,A,0.0,1.0,29.0,0.0,0.0
7543,White,M,Seattle Public Utilities,54,46,R,A,0.0,0.0,3.0,0.0,0.0
7544,White,M,Fire Department,41,46,R,A,0.0,0.0,5.0,0.0,0.0
7545,White,M,Information Technology,51,62,R,A,0.0,0.0,8.0,0.0,0.0
7546,White,F,Seattle City Light,28,55,R,A,0.0,1.0,1.0,0.0,0.0
7547,White,F,Sustainability & Environment,75,29,T,A,0.0,1.0,26.0,1.0,0.0
7548,White,F,Seattle Public Library,45,38,R,L,0.0,1.0,6.0,0.0,1.0
7549,White,M,Information Technology,51,64,R,A,0.0,0.0,8.0,0.0,0.0
7550,White,F,Information Technology,48,63,R,A,0.0,1.0,8.0,0.0,0.0
7551,White,F,Neighborhoods,31,48,R,A,0.0,1.0,18.0,0.0,0.0
7552,White,M,Seattle City Light,32,61,R,A,0.0,0.0,1.0,0.0,0.0
7553,White,M,Seattle Center,35,36,T,A,0.0,0.0,9.0,1.0,0.0
7554,White,F,Construction & Inspections,42,59,R,A,0.0,1.0,11.0,0.0,0.0
7555,White,M,Police Department,43,57,R,A,0.0,0.0,2.0,0.0,0.0
7556,White,F,Education & Early Learning,32,34,R,A,0.0,1.0,15.0,0.0,0.0
7557,White,M,Parks & Recreation,59,27,R,A,0.0,0.0,0.0,0.0,0.0
7558,White,F,City Budget Office,55,62,R,A,0.0,1.0,23.0,0.0,0.0
7559,White,M,Police Department,34,47,R,A,0.0,0.0,2.0,0.0,0.0
7560,White,F,Seattle City Light,42,60,R,A,0.0,1.0,1.0,0.0,0.0
7561,White,F,Seattle Public Utilities,42,18,R,A,0.0,1.0,3.0,0.0,0.0
7562,White,M,Parks & Recreation,23,19,T,A,0.0,0.0,0.0,1.0,0.0
7563,White,M,Seattle City Light,30,61,R,A,0.0,0.0,1.0,0.0,0.0
7564,White,M,Seattle Dept of Transportation,63,35,R,A,0.0,0.0,4.0,0.0,0.0
7565,White,F,Construction & Inspections,47,43,R,A,0.0,1.0,11.0,0.0,0.0
7566,White,M,Seattle City Light,52,58,R,A,0.0,0.0,1.0,0.0,0.0
7567,White,M,Police Department,38,60,R,A,0.0,0.0,2.0,0.0,0.0
7568,White,M,Information Technology,41,52,R,A,0.0,0.0,8.0,0.0,0.0
7569,White,M,Seattle Public Utilities,46,67,R,A,0.0,0.0,3.0,0.0,0.0
7570,White,M,Parks & Recreation,68,18,T,A,0.0,0.0,0.0,1.0,0.0
7571,White,M,Parks & Recreation,42,38,R,A,0.0,0.0,0.0,0.0,0.0
7572,White,M,Police Department,43,95,R,A,0.0,0.0,2.0,0.0,0.0
7573,White,M,Police Department,54,69,R,A,0.0,0.0,2.0,0.0,0.0
7574,White,F,Seattle City Light,45,32,R,A,0.0,1.0,1.0,0.0,0.0
7575,White,M,Civil Service Commissions,59,5,R,A,0.0,0.0,34.0,0.0,0.0
7576,White,M,Fire Department,35,46,R,A,0.0,0.0,5.0,0.0,0.0
7577,White,F,Parks & Recreation,62,33,R,A,0.0,1.0,0.0,0.0,0.0
7578,White,M,Arts & Culture,37,19,T,A,0.0,0.0,22.0,1.0,0.0
7579,White,M,Commnty Sfty and Comm Ctr Dept,39,45,R,A,0.0,0.0,14.0,0.0,0.0
7580,White,F,Fire Department,42,43,R,A,0.0,1.0,5.0,0.0,0.0
7581,White,F,Seattle Center,74,26,T,A,0.0,1.0,9.0,1.0,0.0
7582,White,M,Seattle Center,62,36,T,A,0.0,0.0,9.0,1.0,0.0
7583,White,M,Police Department,39,56,R,A,0.0,0.0,2.0,0.0,0.0
7584,White,F,Seattle City Light,61,55,R,A,0.0,1.0,1.0,0.0,0.0
7585,White,M,Seattle Public Utilities,29,45,R,A,0.0,0.0,3.0,0.0,0.0
7586,White,F,Seattle City Light,38,30,T,A,0.0,1.0,1.0,1.0,0.0
7587,White,M,Seattle Public Utilities,55,61,R,A,0.0,0.0,3.0,0.0,0.0
7588,White,F,Law Department,46,41,R,A,0.0,1.0,13.0,0.0,0.0
7589,White,M,Seattle Public Utilities,50,67,R,A,0.0,0.0,3.0,0.0,0.0
7590,White,M,Seattle Center,28,36,T,A,0.0,0.0,9.0,1.0,0.0
7591,White,M,Seattle Dept of Transportation,55,57,R,A,0.0,0.0,4.0,0.0,0.0
7592,White,M,Information Technology,41,62,R,A,0.0,0.0,8.0,0.0,0.0
7593,White,F,Seattle City Light,50,78,R,A,0.0,1.0,1.0,0.0,0.0
7594,White,F,Information Technology,57,61,R,A,0.0,1.0,8.0,0.0,0.0
7595,White,M,Parks & Recreation,34,36,R,A,0.0,0.0,0.0,0.0,0.0
7596,White,M,Fire Department,26,36,R,A,0.0,0.0,5.0,0.0,0.0
7597,White,M,Police Department,38,57,R,A,0.0,0.0,2.0,0.0,0.0
7598,White,F,Parks & Recreation,20,19,T,A,0.0,1.0,0.0,1.0,0.0
7599,White,M,Fire Department,29,45,R,A,0.0,0.0,5.0,0.0,0.0
7600,White,M,Seattle Public Utilities,75,58,R,A,0.0,0.0,3.0,0.0,0.0
7601,White,M,Fire Department,43,43,R,A,0.0,0.0,5.0,0.0,0.0
7602,White,F,Seattle Dept of Transportation,42,53,R,A,0.0,1.0,4.0,0.0,0.0
7603,White,M,Seattle Center,36,43,R,A,0.0,0.0,9.0,0.0,0.0
7604,White,M,Police Department,30,31,R,A,0.0,0.0,2.0,0.0,0.0
7605,White,M,Fire Department,49,51,R,A,0.0,0.0,5.0,0.0,0.0
7606,White,M,Seattle Public Utilities,68,23,R,A,0.0,0.0,3.0,0.0,0.0
7607,White,M,Seattle Dept of Transportation,57,57,R,A,0.0,0.0,4.0,0.0,0.0
7608,White,M,Parks & Recreation,31,19,T,A,0.0,0.0,0.0,1.0,0.0
7609,White,F,Seattle Dept of Transportation,52,70,R,A,0.0,1.0,4.0,0.0,0.0
