Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Black or African American,M,Seattle City Light,42,130.0144,R,A
Black or African American,M,Seattle City Light,58,61.86,R,A
Black or African American,M,Seattle Public Utilities,48,39.59,R,A
Black or African American,M,Parks & Recreation,33,20.67,T,A
Black or African American,F,Legislative Department,23,38.3142,R,A
Black or African American,M,Parks & Recreation,56,30.09,R,A
Black or African American,M,Information Technology,37,52.345,R,A
Black or African American,F,Police Department,70,43.34,R,A
Black or African American,M,Seattle City Light,52,32.17,R,A
Black or African American,M,Parks & Recreation,22,18.56,T,A
Black or African American,M,Information Technology,45,62.253,R,A
Black or African American,M,Seattle Public Utilities,36,40.93,R,A
Black or African American,F,Municipal Court,56,31.35,R,A
Black or African American,F,Information Technology,59,55.44,R,A
Black or African American,M,Parks & Recreation,19,18.56,T,A
Black or African American,M,Parks & Recreation,58,43.34,R,A
Black or African American,M,Police Department,56,31.35,R,A
Black or African American,F,Parks & Recreation,60,46.68,R,A
Black or African American,M,Human Services Department,51,51.37,R,A
Black or African American,M,Seattle City Light,41,52.41,R,A
Black or African American,F,Construction & Inspections,36,43.34,R,A
Black or African American,M,Seattle Dept of Transportation,30,37.1,T,A
Black or African American,M,Human Services Department,17,17.27,T,A
Black or African American,M,Parks & Recreation,66,40.72,R,A
Black or African American,F,Office for Civil Rights,33,48.162,R,A
Black or African American,F,Municipal Court,47,50.63,R,A
Black or African American,F,Arts & Culture,36,36.47,T,A
Black or African American,M,Finance & Admin Services,47,32.55,R,A
Black or African American,M,Parks & Recreation,50,29.54,R,A
Black or African American,M,Parks & Recreation,19,29.03,T,A
Black or African American,F,Parks & Recreation,25,18.56,T,A
Black or African American,M,Human Services Department,32,38.57,R,A
Black or African American,M,Parks & Recreation,30,31.63,R,A
Black or African American,M,Seattle Public Utilities,26,30.09,R,A
Black or African American,F,Parks & Recreation,61,30.09,R,A
Black or African American,M,Parks & Recreation,86,39.28,R,A
Black or African American,M,Seattle Dept of Transportation,66,64.99,R,A
Black or African American,F,Human Services Department,19,17.27,T,A
Black or African American,M,Seattle Public Utilities,50,37.29,R,A
Black or African American,M,Seattle Public Library,53,28.7,R,A
Black or African American,M,Information Technology,51,54.953,R,A
Black or African American,M,Parks & Recreation,50,30.09,R,A
Black or African American,F,Parks & Recreation,44,18.56,T,A
Black or African American,M,Seattle Public Utilities,34,38.95,R,A
Black or African American,M,Parks & Recreation,17,19.51,T,A
Black or African American,F,Finance & Admin Services,33,55.65,T,A
Black or African American,M,Fire Department,38,41.07,R,A
Black or African American,F,Human Services Department,54,51.22,R,A
Black or African American,F,Hearing Examiner,24,28,R,A
Black or African American,F,Human Services Department,61,53.2,R,A
Black or African American,M,Parks & Recreation,23,20.75,T,A
Black or African American,M,Police Department,28,44.01,R,A
Black or African American,F,Construction & Inspections,44,48.48,R,A
Black or African American,F,Information Technology,32,71.168,R,A
Black or African American,M,Police Department,30,45.96,R,A
Black or African American,F,Human Services Department,38,39.28,R,A
Black or African American,M,Seattle Public Utilities,60,29.29,R,A
Black or African American,M,Construction & Inspections,41,28,T,A
Black or African American,M,Parks & Recreation,54,17.27,T,A
Black or African American,M,Office for Civil Rights,45,53.04,R,A
Black or African American,F,Human Services Department,50,40.86,R,A
Black or African American,M,Finance & Admin Services,44,43.34,R,A
Black or African American,M,Human Services Department,16,17.27,T,A
Black or African American,F,Parks & Recreation,25,20.75,T,A
Black or African American,F,Municipal Court,59,88.35,R,A
Black or African American,F,Education & Early Learning,47,42.57,R,A
Black or African American,M,Parks & Recreation,44,60.78,R,A
Black or African American,F,Construction & Inspections,37,37.1,R,A
Black or African American,M,Seattle Public Utilities,47,63.32,R,A
Black or African American,M,Parks & Recreation,50,27.19,R,A
Black or African American,F,Construction & Inspections,37,30.09,R,A
Black or African American,F,Finance & Admin Services,33,26.24,R,A
Black or African American,M,Fire Department,29,38.98,R,A
Black or African American,F,Seattle Public Library,16,17.27,R,A
Black or African American,M,Seattle Public Utilities,52,44.7,R,A
Black or African American,F,Seattle City Light,32,63.5844,R,A
Black or African American,M,Seattle Dept of Transportation,52,34.05,R,A
Black or African American,M,Parks & Recreation,49,30.09,R,A
Black or African American,F,Information Technology,51,46.68,R,A
Black or African American,F,Human Services Department,23,23.62,T,A
Black or African American,M,Seattle Public Library,64,28.5,R,A
Black or African American,F,Parks & Recreation,40,33.33,R,L
Black or African American,F,Office of Housing,35,57.65,R,A
Black or African American,F,Seattle Public Utilities,51,38,R,A
Black or African American,F,Finance & Admin Services,55,47.34,R,A
Black or African American,M,Parks & Recreation,52,17.27,T,A
Black or African American,F,Parks & Recreation,46,18.56,T,A
Black or African American,M,Parks & Recreation,63,17.27,T,A
Black or African American,M,Information Technology,51,49.44,R,A
Black or African American,M,Seattle Public Utilities,57,43.63,R,A
Black or African American,M,Construction & Inspections,51,78.12,R,A
Black or African American,M,Seattle City Light,41,54.4,R,A
Black or African American,M,Finance & Admin Services,51,66.112,R,A
Black or African American,M,Seattle Public Utilities,40,26.24,R,A
Black or African American,F,Parks & Recreation,46,30.09,R,A
Black or African American,M,Seattle Public Library,52,30.51,R,A
Black or African American,F,Human Services Department,39,39.28,R,A
Black or African American,M,Seattle City Light,37,74.79,R,A
Black or African American,M,Seattle City Light,38,46.06,R,A
Black or African American,M,Construction & Inspections,49,46.51,R,A
Black or African American,F,Finance & Admin Services,40,31.7,R,A
Black or African American,M,Police Department,35,53.5,R,A
Black or African American,M,Seattle City Light,30,34.08,R,A
Black or African American,F,Parks & Recreation,43,55.63,R,A
Black or African American,M,Parks & Recreation,46,31.63,R,A
Black or African American,F,Construction & Inspections,37,49.36,R,A
Black or African American,F,Seattle Public Utilities,60,73.38,R,A
Black or African American,F,Human Services Department,56,26.05,T,A
Black or African American,F,Parks & Recreation,43,46.68,R,A
Black or African American,M,Parks & Recreation,48,29.03,T,A
Black or African American,M,Human Services Department,21,17.27,T,A
Black or African American,F,Parks & Recreation,28,31.86,T,A
Black or African American,M,Fire Department,54,50.02,R,A
Black or African American,M,Police Department,62,43.34,R,A
Black or African American,M,Seattle Dept of Transportation,48,49.24,T,A
Black or African American,F,Parks & Recreation,60,18.56,T,A
Black or African American,F,Parks & Recreation,19,19.64,T,A
Black or African American,M,Municipal Court,53,65.92,R,A
Black or African American,F,Seattle Public Library,29,30.61,R,A
Black or African American,M,Fire Department,47,71.76,R,A
Black or African American,F,Police Department,27,53.5,R,A
Black or African American,M,Seattle Dept of Transportation,41,38.83,R,A
Black or African American,M,Seattle Public Utilities,47,41.68,R,A
Black or African American,F,Information Technology,57,55.44,R,A
Black or African American,F,Fire Department,35,38.98,R,A
Black or African American,F,Human Services Department,17,17.27,T,A
Black or African American,M,Seattle Center,42,18.56,T,A
Black or African American,M,Seattle City Light,66,121.8396,R,A
Black or African American,M,Fire Department,38,48.15,R,A
Black or African American,M,Seattle Center,59,25.55,R,A
Black or African American,M,Finance & Admin Services,47,42.28,R,A
Black or African American,F,Human Services Department,33,39.28,R,A
Black or African American,F,Finance & Admin Services,57,53.2,R,A
Black or African American,M,Human Services Department,23,17.27,T,A
Black or African American,M,Seattle City Light,58,35.74,R,A
Black or African American,F,Human Services Department,18,17.27,T,A
Black or African American,F,Seattle Public Utilities,28,21.51,R,A
Black or African American,M,Human Services Department,17,17.27,T,A
Black or African American,M,Seattle Dept of Transportation,52,35.46,R,A
Black or African American,M,Parks & Recreation,19,19.51,T,A
Black or African American,F,Human Services Department,17,17.27,T,A
Black or African American,F,Finance & Admin Services,35,65.924,R,A
Black or African American,M,Seattle Public Utilities,41,57.87,R,A
Black or African American,M,Parks & Recreation,61,40.86,R,A
Black or African American,F,Seattle Public Library,28,37.99,R,A
Black or African American,M,Seattle City Light,58,77.88,R,A
Black or African American,F,Human Services Department,45,39.28,R,A
Black or African American,F,Finance & Admin Services,66,44.79,R,A
Black or African American,F,Parks & Recreation,23,18.56,T,A
Black or African American,M,Police Department,51,61.36,R,A
Black or African American,F,Construction & Inspections,29,31.11,R,A
Black or African American,M,Fire Department,40,60.33,R,A
Black or African American,F,Seattle Dept of Transportation,62,46.29,R,A
Black or African American,M,Parks & Recreation,24,18.56,T,A
Black or African American,F,Police Department,54,58.75,R,A
Black or African American,F,Neighborhoods,74,31.35,T,A
Black or African American,F,Parks & Recreation,44,18.56,T,A
Black or African American,M,Seattle Center,45,23.14,T,A
Black or African American,M,Seattle City Light,41,34.08,R,A
Black or African American,M,Construction & Inspections,29,31.86,R,A
Black or African American,M,Parks & Recreation,43,29.03,R,A
Black or African American,F,Human Services Department,56,39.28,R,A
Black or African American,M,Police Department,33,53.5,R,A
Black or African American,M,Seattle Public Utilities,63,47.66,R,A
Black or African American,M,Seattle Dept of Transportation,51,33.78,R,A
Black or African American,F,Parks & Recreation,35,30.97,T,A
Black or African American,M,Seattle City Light,58,77.25,R,A
Black or African American,M,Police Department,54,57.44,R,A
Black or African American,M,Parks & Recreation,31,18.56,T,A
Black or African American,F,Seattle Public Utilities,27,19.09,T,A
Black or African American,M,Seattle Center,61,35.26,R,A
Black or African American,M,Seattle Public Utilities,41,37.32,R,A
Black or African American,F,Human Services Department,76,29.03,R,A
Black or African American,F,Human Services Department,35,49.49,R,A
Black or African American,F,Parks & Recreation,25,19.64,R,A
Black or African American,M,Parks & Recreation,46,57.7,R,A
Black or African American,M,Seattle City Light,39,61.86,R,A
Black or African American,M,Seattle City Light,53,28.31,R,A
Black or African American,F,Arts & Culture,40,41.66,R,A
Black or African American,M,Human Services Department,17,17.27,T,A
Black or African American,M,Parks & Recreation,31,25.58,T,A
Black or African American,M,Seattle City Light,42,49.34,R,A
Black or African American,F,Seattle City Light,53,31.35,R,A
Black or African American,F,Human Services Department,38,30.73,T,A
Black or African American,F,Civil Service Commissions,58,5.53,R,A
Black or African American,F,Seattle Public Utilities,46,53.45,R,A
Black or African American,F,Parks & Recreation,53,41.66,R,A
Black or African American,F,Seattle Public Utilities,41,53.2,R,A
Black or African American,M,Parks & Recreation,52,32.85,R,A
Black or African American,F,Commnty Sfty and Comm Ctr Dept,31,55.23,R,A
Black or African American,M,Parks & Recreation,26,24.82,R,A
Black or African American,F,Construction & Inspections,68,40.86,R,A
Black or African American,F,Neighborhoods,52,59.71,R,A
Black or African American,M,Human Services Department,56,39.28,R,A
Black or African American,F,Information Technology,55,74.93,R,A
Black or African American,M,Office of Employee OMBUD,43,43.34,R,A
Black or African American,F,Seattle Dept of Transportation,50,33.78,R,A
Black or African American,F,Information Technology,60,51.35,R,A
Black or African American,F,Seattle Center,78,18.56,T,A
Black or African American,M,Parks & Recreation,42,30.09,R,A
Black or African American,M,Fire Department,49,55.03,R,A
Black or African American,M,Seattle Dept of Transportation,37,51.32,R,A
Black or African American,M,Seattle Dept of Human Resource,51,86.91,R,A
Black or African American,M,Parks & Recreation,55,18.56,T,A
Black or African American,F,Parks & Recreation,48,30.09,T,A
Black or African American,M,Parks & Recreation,23,19.09,T,A
Black or African American,F,Parks & Recreation,48,24.82,T,A
Black or African American,M,Seattle Public Utilities,58,37.29,R,A
Black or African American,M,Seattle Public Library,57,27.14,R,L
Black or African American,M,Parks & Recreation,41,18.56,T,A
Black or African American,F,Seattle Public Utilities,28,26.88,T,A
Black or African American,M,Seattle Public Utilities,64,39.73,R,A
Black or African American,F,Human Services Department,17,17.27,T,A
Black or African American,M,Human Services Department,37,39.28,R,A
Black or African American,F,Seattle City Light,64,31.7,R,A
Black or African American,F,Parks & Recreation,42,21.9,T,A
Black or African American,F,Ethics & Elections Commission,26,40.08,R,A
Black or African American,F,Seattle Public Utilities,53,31.35,R,A
Black or African American,M,Parks & Recreation,58,27.19,R,A
Black or African American,M,Seattle City Light,27,34.35,R,A
Black or African American,M,Human Services Department,48,37.84,R,A
Black or African American,M,Seattle City Light,42,58.78,R,A
Black or African American,M,Parks & Recreation,59,30.09,R,A
Black or African American,M,Human Services Department,16,17.27,T,A
Black or African American,F,Seattle Center,65,25.58,T,A
Black or African American,M,Seattle Public Utilities,47,37.32,R,A
Black or African American,M,Seattle Dept of Transportation,44,35.46,R,A
Black or African American,M,Information Technology,60,60.884,R,A
Black or African American,M,Seattle Dept of Transportation,32,44.09,T,A
Black or African American,M,Mayor's Office,29,27.46,T,A
Black or African American,M,Seattle City Light,66,52.23,R,A
Black or African American,F,Parks & Recreation,31,23.62,T,A
Black or African American,M,Seattle Center,63,25.58,T,A
Black or African American,M,Seattle Dept of Transportation,46,30.09,R,A
Black or African American,M,Seattle Center,37,21.96,T,A
Black or African American,M,Seattle City Light,55,60.23,R,A
Black or African American,F,Parks & Recreation,63,19.29,T,A
Black or African American,F,Seattle Public Utilities,63,46.68,R,A
Black or African American,M,Seattle Public Utilities,57,34.54,R,A
Black or African American,F,Seattle Dept of Transportation,41,34.05,R,A
Black or African American,M,Parks & Recreation,28,54,R,A
Black or African American,F,Finance & Admin Services,33,46.68,R,A
Black or African American,M,Parks & Recreation,63,30.09,R,A
Black or African American,F,Seattle Public Utilities,50,38,R,A
Black or African American,M,Police Department,62,62.68,R,A
Black or African American,M,Parks & Recreation,34,32.85,R,A
Black or African American,M,Seattle Public Utilities,63,73.374,R,A
Black or African American,M,Employees' Retirement System,53,33.79,R,A
Black or African American,F,Seattle City Light,59,49.75,R,A
Black or African American,F,Parks & Recreation,45,19.64,T,A
Black or African American,F,Seattle Public Utilities,57,34.08,R,A
Black or African American,M,Fire Department,35,50.23,R,A
Black or African American,M,Seattle City Light,51,30.09,R,A
Black or African American,F,City Auditor,25,34.47,R,A
Black or African American,F,Seattle Public Library,25,24.67,R,A
Black or African American,M,Police Department,27,54.29,R,A
Black or African American,M,Parks & Recreation,30,23.65,R,A
Black or African American,M,Seattle Dept of Transportation,66,35.16,R,A
Black or African American,M,Police Department,30,53.5,R,A
Black or African American,M,Seattle Dept of Transportation,37,42.91,R,A
Black or African American,M,Seattle City Light,43,69.6,R,A
Black or African American,F,Seattle Public Utilities,52,28,T,A
Black or African American,M,Police Department,55,62.68,R,A
Black or African American,F,Human Services Department,18,17.27,T,A
Black or African American,F,Seattle Dept of Transportation,34,34.08,R,A
Black or African American,F,Police Department,51,55.44,R,A
Black or African American,M,Parks & Recreation,45,35.74,R,A
Black or African American,F,Parks & Recreation,48,18.56,T,A
Black or African American,M,Finance & Admin Services,59,48.4,R,A
Black or African American,F,Seattle Dept of Transportation,52,41.48,R,A
Black or African American,F,Seattle Public Utilities,47,31.35,R,A
Black or African American,F,Human Services Department,43,30.09,R,A
Black or African American,F,Police Department,63,93.341,R,A
Black or African American,M,Parks & Recreation,19,25.58,T,A
Black or African American,M,Parks & Recreation,31,17.27,T,A
Black or African American,M,Seattle Public Utilities,34,32.67,R,A
Black or African American,F,Seattle Public Library,16,17.27,R,A
Black or African American,M,Seattle Public Library,70,28.29,R,A
Black or African American,M,Information Technology,28,60.77,R,A
Black or African American,F,Parks & Recreation,38,29.03,R,A
Black or African American,F,Construction & Inspections,67,28,T,A
Black or African American,F,Seattle City Light,46,62.0375,R,A
Black or African American,M,Seattle City Light,54,30.09,R,A
Black or African American,M,Parks & Recreation,68,30.09,R,A
Black or African American,F,Human Services Department,20,17.27,T,A
Black or African American,F,Parks & Recreation,61,18.56,T,A
Black or African American,F,Seattle Public Utilities,60,43.63,R,A
Black or African American,F,Parks & Recreation,58,37.98,R,A
Black or African American,M,Parks & Recreation,28,17.27,T,A
Black or African American,F,Police Department,61,36.47,R,A
Black or African American,F,Human Services Department,58,40.86,R,A
Black or African American,M,Human Services Department,20,17.27,T,A
Black or African American,M,Human Services Department,16,17.27,T,A
Black or African American,M,Seattle Center,68,21.96,T,A
Black or African American,M,Parks & Recreation,39,35.74,R,A
Black or African American,F,Human Services Department,18,17.27,T,A
Black or African American,M,Seattle Dept of Transportation,53,57.87,R,A
Black or African American,M,Seattle Dept of Transportation,59,72.77,R,A
Black or African American,M,Parks & Recreation,50,30.09,R,A
Black or African American,M,Construction & Inspections,54,55.39,R,A
Black or African American,M,Parks & Recreation,57,25.58,T,A
Black or African American,M,Seattle Dept of Transportation,44,28,R,A
Black or African American,M,Human Services Department,17,17.27,T,A
Black or African American,M,Fire Department,51,54.2,R,A
Black or African American,M,Seattle Dept of Transportation,63,90.62,R,A
Black or African American,M,Finance & Admin Services,44,46.68,R,A
Black or African American,M,Parks & Recreation,23,18.56,T,A
Black or African American,M,Parks & Recreation,47,24.82,T,A
Black or African American,M,Seattle Public Library,58,28.29,R,A
Black or African American,F,Human Services Department,66,33.14,R,A
Black or African American,F,Parks & Recreation,20,19.29,T,A
Black or African American,M,Police Department,41,54.29,R,L
Black or African American,N,Seattle Public Library,37,43.97,R,A
Black or African American,M,Police Department,49,69.11,R,A
Black or African American,F,Police Department,53,41.83,R,A
Black or African American,F,Law Department,56,39.28,R,A
Black or African American,F,Human Services Department,41,39.28,R,A
Black or African American,M,Parks & Recreation,24,18.56,T,A
Black or African American,M,Fire Department,58,56.8,R,A
Black or African American,F,Seattle Public Utilities,51,55.44,R,A
Black or African American,F,Parks & Recreation,60,29.03,T,A
Black or African American,M,Parks & Recreation,57,33.33,R,A
Black or African American,M,Seattle Public Utilities,67,37.29,R,A
Black or African American,F,Parks & Recreation,26,18.56,T,A
Black or African American,F,Human Services Department,62,38.4,R,A
Black or African American,M,Finance & Admin Services,39,28.66,T,A
Black or African American,F,Police Department,61,35.74,R,A
Black or African American,M,Parks & Recreation,42,18.56,T,A
Black or African American,M,Fire Department,36,52.32,R,A
Black or African American,F,Parks & Recreation,27,18.56,R,A
Black or African American,M,Parks & Recreation,60,18.56,T,A
Black or African American,M,Seattle Public Utilities,59,67.486,R,A
Black or African American,F,Seattle Center,56,25.58,T,A
Black or African American,M,Seattle Public Utilities,62,44.21,R,A
Black or African American,M,Finance & Admin Services,46,42.57,R,A
Black or African American,M,Seattle Center,53,24.92,R,A
Black or African American,M,Seattle Public Utilities,26,33.75,R,A
Black or African American,M,Seattle City Light,46,74.5,R,A
Black or African American,F,Human Services Department,18,17.27,T,A
Black or African American,F,Seattle Public Library,22,30.1,R,A
Black or African American,M,Parks & Recreation,34,20.75,T,A
Black or African American,M,Seattle City Light,57,61.42,R,A
Black or African American,F,Human Services Department,25,33.14,T,A
Black or African American,F,Human Services Department,18,17.27,T,A
Black or African American,F,Seattle Public Utilities,44,60.78,R,A
Black or African American,N,Human Services Department,17,17.27,T,A
Black or African American,F,Police Department,47,49.764,R,A
Black or African American,M,Construction & Inspections,49,45.68,R,A
Black or African American,F,Parks & Recreation,24,18.56,T,A
Black or African American,M,Parks & Recreation,38,41.83,R,A
Black or African American,F,Construction & Inspections,51,43.34,R,A
Black or African American,M,Seattle Dept of Transportation,38,30.09,T,A
Black or African American,M,Construction & Inspections,43,33.78,R,A
Black or African American,F,Seattle Public Library,49,46.07,R,A
Black or African American,F,Parks & Recreation,58,34.08,R,A
Black or African American,M,Information Technology,44,62.35,R,A
Black or African American,M,Seattle Public Utilities,41,37.24,R,A
Black or African American,M,Parks & Recreation,44,43.34,R,A
Black or African American,F,Police Department,51,59.8,R,A
Black or African American,M,Seattle City Light,61,61.86,R,A
Black or African American,M,Parks & Recreation,27,19.64,T,A
Black or African American,F,Seattle Dept of Transportation,50,46.68,R,A
Black or African American,F,Parks & Recreation,38,28,R,A
Black or African American,F,Municipal Court,58,31.35,R,A
Black or African American,M,Construction & Inspections,65,56.25,R,A
Black or African American,F,Seattle City Light,59,63.32,R,A
Black or African American,F,Municipal Court,39,30.56,T,A
Black or African American,M,Parks & Recreation,61,33.33,R,A
Black or African American,F,Seattle Public Utilities,68,41.26,R,A
Black or African American,F,Parks & Recreation,42,18.56,T,A
Black or African American,M,Seattle City Light,54,34.35,R,A
Black or African American,M,Seattle Public Library,67,27.14,R,A
Black or African American,M,Finance & Admin Services,61,52.41,R,A
Black or African American,M,Human Services Department,48,51.39,R,A
Black or African American,M,Parks & Recreation,24,18.56,T,A
Black or African American,F,Construction & Inspections,37,30.09,R,A
Black or African American,M,Seattle City Light,52,30.97,R,A
Black or African American,M,Parks & Recreation,41,25.58,R,A
Black or African American,F,Seattle Public Library,20,22.29,R,A
Black or African American,F,Parks & Recreation,47,46.68,R,A
Black or African American,F,Seattle Public Utilities,27,32.48,R,A
Black or African American,F,Legislative Department,45,46.9349,R,A
Black or African American,F,Seattle Public Utilities,27,31.35,R,A
Black or African American,M,Police Department,34,47.69,R,A
Black or African American,M,Seattle City Light,50,42.44,R,A
Black or African American,M,Seattle Center,51,32.85,R,A
Black or African American,M,Parks & Recreation,63,25.58,T,A
Black or African American,F,Human Services Department,16,17.27,T,A
Black or African American,M,Human Services Department,16,17.27,T,A
Black or African American,M,Seattle Public Utilities,24,39.59,R,A
Black or African American,F,Human Services Department,45,28,T,A
Black or African American,F,Seattle City Light,61,31.7,R,A
Black or African American,F,Seattle Public Library,56,27.14,R,A
Black or African American,M,Seattle City Light,38,43.93,R,A
Black or African American,M,Police Department,58,62.68,R,A
Black or African American,M,Seattle Dept of Transportation,57,32.85,R,A
Black or African American,M,Parks & Recreation,23,30.09,T,A
Black or African American,F,Seattle Public Library,58,38.42,R,A
Black or African American,M,Human Services Department,45,51.37,R,A
Black or African American,M,Seattle City Light,40,43.93,R,A
Black or African American,M,Parks & Recreation,65,22.86,T,A
Black or African American,M,Police Department,60,61.63,R,A
Black or African American,M,Seattle Dept of Transportation,50,30.09,R,A
Black or African American,F,Human Services Department,64,39.28,R,A
Black or African American,M,Seattle City Light,45,42.42,R,A
Black or African American,M,Parks & Recreation,43,30.09,R,A
Black or African American,M,Parks & Recreation,27,22.86,R,A
Black or African American,F,Parks & Recreation,22,19.51,T,A
Black or African American,F,Human Services Department,25,17.27,T,A
Black or African American,M,Police Department,46,62.06,R,A
Black or African American,F,Human Services Department,17,17.27,T,A
Black or African American,M,Parks & Recreation,61,34.08,R,A
Black or African American,M,Parks & Recreation,24,17.27,T,A
Black or African American,M,Police Department,50,59.8,R,A
Black or African American,F,Law Department,51,74.887,R,A
Black or African American,M,Parks & Recreation,42,30.09,R,A
Black or African American,M,Human Services Department,17,17.27,T,A
Black or African American,M,Police Department,48,66.38,R,L
Black or African American,M,Police Department,37,55.6,R,A
Black or African American,M,Seattle Public Utilities,41,36.55,R,A
Black or African American,M,Seattle Public Library,30,27.05,R,L
Black or African American,F,Seattle Public Utilities,63,40.86,R,A
Black or African American,M,Parks & Recreation,70,37.29,R,L
Black or African American,F,Human Services Department,19,17.27,T,A
Black or African American,M,Finance & Admin Services,55,31.7,R,A
Black or African American,M,Mayor's Office,53,61.303,R,A
Black or African American,F,Seattle City Light,44,35.79,R,A
Black or African American,F,Seattle City Light,67,34.47,R,A
Black or African American,M,Seattle Public Utilities,43,63.4,R,A
Black or African American,F,Information Technology,29,42.57,T,A
Black or African American,F,Police Department,64,32.23,R,L
Black or African American,M,Police Department,35,67.9344,R,A
Black or African American,M,Seattle City Light,60,61.86,R,A
Black or African American,M,Seattle Public Utilities,43,37.32,R,A
Black or African American,F,Seattle Dept of Transportation,39,59.55,R,A
Black or African American,F,Parks & Recreation,46,37.1,R,A
Black or African American,F,Seattle Dept of Transportation,33,34.05,R,A
Black or African American,F,Construction & Inspections,36,41.66,T,A
Black or African American,F,Parks & Recreation,40,20.97,R,A
Black or African American,M,Human Services Department,17,17.27,T,A
Black or African American,M,Seattle Public Library,17,17.27,R,A
Black or African American,M,Construction & Inspections,47,29.03,R,A
Black or African American,M,Construction & Inspections,28,18.61,R,A
Black or African American,M,Police Department,68,35.42,R,A
Black or African American,M,Seattle Public Utilities,47,43.27,R,A
Black or African American,F,Construction & Inspections,46,56.25,R,A
Black or African American,M,Seattle Public Utilities,42,49.75,R,A
Black or African American,F,Seattle Dept of Transportation,61,61.009,R,A
Black or African American,M,Police Department,54,58.75,R,A
Black or African American,M,Seattle Dept of Transportation,39,30.97,T,A
Black or African American,M,Fire Department,37,36.9,R,A
Black or African American,M,Parks & Recreation,37,27.19,R,L
Black or African American,F,Police Department,37,49.49,R,A
Black or African American,M,Municipal Court,34,29.39,T,A
Black or African American,F,Seattle Public Utilities,47,39.59,R,A
Black or African American,M,Seattle Public Utilities,44,40.84,R,A
Black or African American,M,Parks & Recreation,25,27.19,R,A
Black or African American,M,Seattle Public Utilities,45,34.08,R,A
Black or African American,F,Seattle City Light,45,34.47,R,A
Black or African American,M,Parks & Recreation,24,25.58,T,A
Black or African American,M,Seattle Public Utilities,41,32.67,R,A
Black or African American,M,Parks & Recreation,40,18.56,T,A
Black or African American,F,Parks & Recreation,71,18.56,T,A
Black or African American,M,Human Services Department,16,17.27,T,A
Black or African American,F,Seattle Public Utilities,64,31.35,R,A
Black or African American,M,Human Services Department,65,41.66,R,A
Black or African American,M,Police Department,39,44.01,R,A
Black or African American,F,Municipal Court,73,57.49,T,A
Black or African American,F,Parks & Recreation,42,30.09,R,A
Black or African American,M,Office for Civil Rights,58,49.581,R,A
Black or African American,F,Municipal Court,61,63.709,R,A
Black or African American,M,Parks & Recreation,62,31.35,R,A
Black or African American,M,Seattle City Light,61,69.6,R,A
Black or African American,M,Seattle City Light,61,61.86,R,A
Black or African American,F,Municipal Court,49,64.073,R,A
Black or African American,F,Parks & Recreation,29,23.62,T,A
Black or African American,M,Parks & Recreation,51,18.56,T,A
Black or African American,F,Fire Department,50,85.94,R,A
Black or African American,F,Parks & Recreation,47,18.56,T,A
Black or African American,F,Seattle Public Utilities,65,37.84,R,A
Black or African American,M,Parks & Recreation,64,58.36,R,A
Black or African American,F,Parks & Recreation,70,19.29,T,A
Black or African American,M,Seattle City Light,61,61.86,R,A
Black or African American,F,Seattle Public Utilities,57,55.44,R,A
Black or African American,F,Parks & Recreation,64,37.98,R,A
Black or African American,M,Seattle Dept of Transportation,58,57.87,R,A
Black or African American,M,Seattle Public Library,53,25.81,R,A
Black or African American,F,Human Services Department,21,17.27,T,A
Black or African American,F,Seattle Public Library,54,65.205,R,A
Black or African American,F,Human Services Department,36,35.05,R,A
Black or African American,M,Seattle Dept of Transportation,60,34.05,R,A
Black or African American,F,Seattle Public Utilities,60,41.26,R,A
Black or African American,M,Seattle Dept of Transportation,48,77.05,R,A
Black or African American,M,Parks & Recreation,50,41.18,R,A
Black or African American,F,Parks & Recreation,37,18.56,T,A
Black or African American,F,Human Services Department,38,42.57,R,A
Black or African American,F,Police Department,58,70.92,R,A
Black or African American,M,Seattle Public Library,60,35.65,R,A
Black or African American,M,Parks & Recreation,74,29.54,R,A
Black or African American,F,Education & Early Learning,40,33.16,R,A
Black or African American,M,Seattle Dept of Transportation,42,35.4,R,A
Black or African American,F,Finance & Admin Services,67,31.35,R,A
Black or African American,M,Seattle Center,66,121.489,R,A
Black or African American,M,Construction & Inspections,39,66.617,R,A
Black or African American,M,Seattle Dept of Transportation,58,60.59,R,A
Black or African American,M,Parks & Recreation,61,30.09,R,A
Black or African American,F,Human Services Department,52,28,R,A
Black or African American,M,Seattle Dept of Transportation,50,34.05,R,A
Black or African American,F,Seattle Public Utilities,38,32.48,R,A
Black or African American,M,Seattle Public Utilities,45,32.67,R,A
Black or African American,F,Seattle Center,51,21.96,T,A
Black or African American,M,Seattle Dept of Transportation,64,67.534,R,A
Black or African American,M,Legislative Department,23,30,T,A
Black or African American,F,Construction & Inspections,66,44.95,R,A
Black or African American,F,Education & Early Learning,39,51.39,R,A
Black or African American,F,Seattle Public Library,51,27.14,R,A
Black or African American,M,Parks & Recreation,33,17.27,T,A
Black or African American,M,Municipal Court,61,66.245,R,A
Black or African American,F,Parks & Recreation,24,18.56,T,A
Black or African American,F,Law Department,53,34.47,R,A
Black or African American,M,Parks & Recreation,31,20.57,R,A
Black or African American,M,Parks & Recreation,37,18.56,T,A
Black or African American,M,Parks & Recreation,50,30.09,R,A
